competition,gender, game, rank, name, nation,,
athletics,M,400 metres hurdles,1960 Rome,2, Clifton Cushman, USA,
athletics,M,400 metres hurdles,1960 Rome,3, Dick Howard, USA,
athletics,M,400 metres hurdles,1964 Tokyo,1, Rex Cawley, USA,
athletics,M,400 metres hurdles,1964 Tokyo,2, John Cooper, GBR,
athletics,M,400 metres hurdles,1964 Tokyo,3, Salvatore Morale, ITA,
athletics,M,400 metres hurdles,1968 Mexico City,1, David Hemery, GBR,
athletics,M,400 metres hurdles,1968 Mexico City,2, Gerhard Hennige, FRG,
athletics,M,400 metres hurdles,1968 Mexico City,3, John Sherwood, GBR,
athletics,M,400 metres hurdles,1972 Munich,1, John Akii-Bua, UGA,
athletics,M,400 metres hurdles,1972 Munich,2, Ralph Mann, USA,
athletics,M,400 metres hurdles,1972 Munich,3, David Hemery, GBR,
athletics,M,400 metres hurdles,1976 Montreal,1, Edwin Moses, USA,
athletics,M,400 metres hurdles,1976 Montreal,2, Michael Shine, USA,
athletics,M,400 metres hurdles,1976 Montreal,3, Yevgeniy Gavrilenko, URS,
athletics,M,400 metres hurdles,1980 Moscow,1, Volker Beck, GDR,
athletics,M,400 metres hurdles,1980 Moscow,2, Vasyl Arkhypenko, URS,
athletics,M,400 metres hurdles,1980 Moscow,3, Gary Oakes, GBR,
athletics,M,400 metres hurdles,1984 Los Angeles,1, Edwin Moses, USA,
athletics,M,400 metres hurdles,1984 Los Angeles,2, Danny Harris, USA,
athletics,M,400 metres hurdles,1984 Los Angeles,3, Harald Schmid, FRG,
athletics,M,400 metres hurdles,1988 Seoul,1, André Phillips, USA,
athletics,M,400 metres hurdles,1988 Seoul,2, Amadou Dia Ba, SEN,
athletics,M,400 metres hurdles,1988 Seoul,3, Edwin Moses, USA,
athletics,M,400 metres hurdles,1992 Barcelona,1, Kevin Young, USA,
athletics,M,400 metres hurdles,1992 Barcelona,2, Winthrop Graham, JAM,
athletics,M,400 metres hurdles,1992 Barcelona,3, Kriss Akabusi, GBR,
athletics,M,400 metres hurdles,1996 Atlanta,1, Derrick Adkins, USA,
athletics,M,400 metres hurdles,1996 Atlanta,2, Samuel Matete, ZAM,
athletics,M,400 metres hurdles,1996 Atlanta,3, Calvin Davis, USA,
athletics,M,400 metres hurdles,2000 Sydney,1, Angelo Taylor, USA,
athletics,M,400 metres hurdles,2000 Sydney,2, Hadi Al-Somaily, KSA,
athletics,M,400 metres hurdles,2000 Sydney,3, Llewellyn Herbert, RSA,
athletics,M,400 metres hurdles,2004 Athens,1, Félix Sánchez, DOM,
athletics,M,400 metres hurdles,2004 Athens,2, Danny McFarlane, JAM,
athletics,M,400 metres hurdles,2004 Athens,3, Naman Keïta, FRA,
athletics,M,400 metres hurdles,2008 Beijing,1, Angelo Taylor, USA,
athletics,M,400 metres hurdles,2008 Beijing,2, Kerron Clement, USA,
athletics,M,400 metres hurdles,2008 Beijing,3, Bershawn Jackson, USA,
athletics,M,400 metres hurdles,2012 London,1, Félix Sánchez, DOM,
athletics,M,400 metres hurdles,2012 London,2, Michael Tinsley, USA,
athletics,M,400 metres hurdles,2012 London,3, Javier Culson, PUR,
athletics,M,3000 metres steeplechase,1920 Antwerp,1, Percy Hodge, GBR,
athletics,M,3000 metres steeplechase,1920 Antwerp,2, Patrick Flynn, USA,
athletics,M,3000 metres steeplechase,1920 Antwerp,3, Ernesto Ambrosini, ITA,
athletics,M,3000 metres steeplechase,1924 Paris,1, Ville Ritola, FIN,
athletics,M,3000 metres steeplechase,1924 Paris,2, Elias Katz, FIN,
athletics,M,3000 metres steeplechase,1924 Paris,3, Paul Bontemps, FRA,
athletics,M,3000 metres steeplechase,1928 Amsterdam,1, Toivo Loukola, FIN,
athletics,M,3000 metres steeplechase,1928 Amsterdam,2, Paavo Nurmi, FIN,
athletics,M,3000 metres steeplechase,1928 Amsterdam,3, Ove Andersen, FIN,
athletics,M,3000 metres steeplechase,1932 Los Angeles,1, Volmari Iso-Hollo, FIN,
athletics,M,3000 metres steeplechase,1932 Los Angeles,2, Thomas Evenson, GBR,
athletics,M,3000 metres steeplechase,1932 Los Angeles,3, Joe McCluskey, USA,
athletics,M,3000 metres steeplechase,1936 Berlin,1, Volmari Iso-Hollo, FIN,
athletics,M,3000 metres steeplechase,1936 Berlin,2, Kalle Tuominen, FIN,
athletics,M,3000 metres steeplechase,1936 Berlin,3, Alfred Dompert, GER,
athletics,M,3000 metres steeplechase,1948 London,1, Tore Sjöstrand, SWE,
athletics,M,3000 metres steeplechase,1948 London,2, Erik Elmsäter, SWE,
athletics,M,3000 metres steeplechase,1948 London,3, Göte Hagström, SWE,
athletics,M,3000 metres steeplechase,1952 Helsinki,1, Horace Ashenfelter, USA,
athletics,M,3000 metres steeplechase,1952 Helsinki,2, Vladimir Kazantsev, URS,
athletics,M,3000 metres steeplechase,1952 Helsinki,3, John Disley, GBR,
athletics,M,3000 metres steeplechase,1956 Melbourne,1, Chris Brasher, GBR,
athletics,M,3000 metres steeplechase,1956 Melbourne,2, Sándor Rozsnyói, HUN,
athletics,M,3000 metres steeplechase,1956 Melbourne,3, Ernst Larsen, NOR,
athletics,M,3000 metres steeplechase,1960 Rome,1, Zdzisław Krzyszkowiak, POL,
athletics,M,3000 metres steeplechase,1960 Rome,2, Nikolay Sokolov, URS,
athletics,M,3000 metres steeplechase,1960 Rome,3, Semyon Rzhishchin, URS,
athletics,M,3000 metres steeplechase,1964 Tokyo,1, Gaston Roelants, BEL,
athletics,M,3000 metres steeplechase,1964 Tokyo,2, Maurice Herriott, GBR,
athletics,M,3000 metres steeplechase,1964 Tokyo,3, Ivan Belyayev, URS,
athletics,M,3000 metres steeplechase,1968 Mexico City,1, Amos Biwott, KEN,
athletics,M,3000 metres steeplechase,1968 Mexico City,2, Benjamin Kogo, KEN,
athletics,M,3000 metres steeplechase,1968 Mexico City,3, George Young, USA,
athletics,M,3000 metres steeplechase,1972 Munich,1, Kipchoge Keino, KEN,
athletics,M,3000 metres steeplechase,1972 Munich,2, Ben Jipcho, KEN,
athletics,M,3000 metres steeplechase,1972 Munich,3, Tapio Kantanen, FIN,
athletics,M,3000 metres steeplechase,1976 Montreal,1, Anders Gärderud, SWE,
athletics,M,3000 metres steeplechase,1976 Montreal,2, Bronisław Malinowski, POL,
athletics,M,3000 metres steeplechase,1976 Montreal,3, Frank Baumgartl, GDR,
athletics,M,3000 metres steeplechase,1980 Moscow,1, Bronisław Malinowski, POL,
athletics,M,3000 metres steeplechase,1980 Moscow,2, Filbert Bayi, TAN,
athletics,M,3000 metres steeplechase,1980 Moscow,3, Eshetu Tura, ETH,
athletics,M,3000 metres steeplechase,1984 Los Angeles,1, Julius Korir, KEN,
athletics,M,3000 metres steeplechase,1984 Los Angeles,2, Joseph Mahmoud, FRA,
athletics,M,3000 metres steeplechase,1984 Los Angeles,3, Brian Diemer, USA,
athletics,M,3000 metres steeplechase,1988 Seoul,1, Julius Kariuki, KEN,
athletics,M,3000 metres steeplechase,1988 Seoul,2, Peter Koech, KEN,
athletics,M,3000 metres steeplechase,1988 Seoul,3, Mark Rowland, GBR,
athletics,M,3000 metres steeplechase,1992 Barcelona,1, Matthew Birir, KEN,
athletics,M,3000 metres steeplechase,1992 Barcelona,2, Patrick Sang, KEN,
athletics,M,3000 metres steeplechase,1992 Barcelona,3, William Mutwol, KEN,
athletics,M,3000 metres steeplechase,1996 Atlanta,1, Joseph Keter, KEN,
athletics,M,3000 metres steeplechase,1996 Atlanta,2, Moses Kiptanui, KEN,
athletics,M,3000 metres steeplechase,1996 Atlanta,3, Alessandro Lambruschini, ITA,
athletics,M,3000 metres steeplechase,2000 Sydney,1, Reuben Kosgei, KEN,
athletics,M,3000 metres steeplechase,2000 Sydney,2, Wilson Boit Kipketer, KEN,
athletics,M,3000 metres steeplechase,2000 Sydney,3, Ali Ezzine, MAR,
athletics,M,3000 metres steeplechase,2004 Athens,1, Ezekiel Kemboi, KEN,
athletics,M,3000 metres steeplechase,2004 Athens,2, Brimin Kipruto, KEN,
athletics,M,3000 metres steeplechase,2004 Athens,3, Paul Kipsiele Koech, KEN,
athletics,M,3000 metres steeplechase,2008 Beijing,1, Brimin Kipruto, KEN,
athletics,M,3000 metres steeplechase,2008 Beijing,2, Mahiedine Mekhissi-Benabbad, FRA,
athletics,M,3000 metres steeplechase,2008 Beijing,3, Richard Kipkemboi Mateelong, KEN,
athletics,M,3000 metres steeplechase,2012 London,1, Ezekiel Kemboi, KEN,
athletics,M,3000 metres steeplechase,2012 London,2, Mahiedine Mekhissi-Benabbad, FRA,
athletics,M,3000 metres steeplechase,2012 London,3, Abel Mutai, KEN,
athletics,M,20 kilometres race walk,1956 Melbourne,1, Leonid Spirin, URS,
athletics,M,20 kilometres race walk,1956 Melbourne,2, Antanas Mikėnas, URS,
athletics,M,20 kilometres race walk,1956 Melbourne,3, Bruno Junk, URS,
athletics,M,20 kilometres race walk,1960 Rome,1, Volodymyr Holubnychy, URS,
athletics,M,20 kilometres race walk,1960 Rome,2, Noel Freeman, AUS,
athletics,M,20 kilometres race walk,1960 Rome,3, Stan Vickers, GBR,
athletics,M,20 kilometres race walk,1964 Tokyo,1, Ken Matthews, GBR,
athletics,M,20 kilometres race walk,1964 Tokyo,2, Dieter Lindner, EUA,
athletics,M,20 kilometres race walk,1964 Tokyo,3, Volodymyr Holubnychy, URS,
athletics,M,20 kilometres race walk,1968 Mexico City,1, Volodymyr Holubnychy, URS,
athletics,M,20 kilometres race walk,1968 Mexico City,2, José Pedraza, MEX,
athletics,M,20 kilometres race walk,1968 Mexico City,3, Nikolay Smaga, URS,
athletics,M,20 kilometres race walk,1972 Munich,1, Peter Frenkel, GDR,
athletics,M,20 kilometres race walk,1972 Munich,2, Volodymyr Holubnychy, URS,
athletics,M,20 kilometres race walk,1972 Munich,3, Hans-Georg Reimann, GDR,
athletics,M,20 kilometres race walk,1976 Montreal,1, Daniel Bautista, MEX,
athletics,M,20 kilometres race walk,1976 Montreal,2, Hans-Georg Reimann, GDR,
athletics,M,20 kilometres race walk,1976 Montreal,3, Peter Frenkel, GDR,
athletics,M,20 kilometres race walk,1980 Moscow,1, Maurizio Damilano, ITA,
athletics,M,20 kilometres race walk,1980 Moscow,2, Pyotr Pochenchuk, URS,
athletics,M,20 kilometres race walk,1980 Moscow,3, Roland Wieser, GDR,
athletics,M,20 kilometres race walk,1984 Los Angeles,1, Ernesto Canto, MEX,
athletics,M,20 kilometres race walk,1984 Los Angeles,2, Raúl González, MEX,
athletics,M,20 kilometres race walk,1984 Los Angeles,3, Maurizio Damilano, ITA,
athletics,M,20 kilometres race walk,1988 Seoul,1, Jozef Pribilinec, TCH,
athletics,M,20 kilometres race walk,1988 Seoul,2, Ronald Weigel, GDR,
athletics,M,20 kilometres race walk,1988 Seoul,3, Maurizio Damilano, ITA,
athletics,M,20 kilometres race walk,1992 Barcelona,1, Daniel Plaza, ESP,
athletics,M,20 kilometres race walk,1992 Barcelona,2, Guillaume LeBlanc, CAN,
athletics,M,20 kilometres race walk,1992 Barcelona,3, Giovanni De Benedictis, ITA,
athletics,M,20 kilometres race walk,1996 Atlanta,1, Jefferson Pérez, ECU,
athletics,M,20 kilometres race walk,1996 Atlanta,2, Ilya Markov, RUS,
athletics,M,20 kilometres race walk,1996 Atlanta,3, Bernardo Segura, MEX,
athletics,M,20 kilometres race walk,2000 Sydney,1, Robert Korzeniowski, POL,
athletics,M,20 kilometres race walk,2000 Sydney,2, Noé Hernández, MEX,
athletics,M,20 kilometres race walk,2000 Sydney,3, Vladimir Andreyev, RUS,
athletics,M,20 kilometres race walk,2004 Athens,1, Ivano Brugnetti, ITA,
athletics,M,20 kilometres race walk,2004 Athens,2, Paquillo Fernández, ESP,
athletics,M,20 kilometres race walk,2004 Athens,3, Nathan Deakes, AUS,
athletics,M,20 kilometres race walk,2008 Beijing,1, Valeriy Borchin, RUS,
athletics,M,20 kilometres race walk,2008 Beijing,2, Jefferson Pérez, ECU,
athletics,M,20 kilometres race walk,2008 Beijing,3, Jared Tallent, AUS,
athletics,M,20 kilometres race walk,2012 London,1, Chen Ding, CHN,
athletics,M,20 kilometres race walk,2012 London,2, Erick Barrondo, GUA,
athletics,M,20 kilometres race walk,2012 London,3, Wang Zhen, CHN,
athletics,M,50 kilometres race walk,1932 Los Angeles,1, Tommy Green, GBR,
athletics,M,50 kilometres race walk,1932 Los Angeles,2, Jānis Daliņš, LAT,
athletics,M,50 kilometres race walk,1932 Los Angeles,3, Ugo Frigerio, ITA,
athletics,M,50 kilometres race walk,1936 Berlin,1, Harold Whitlock, GBR,
athletics,M,50 kilometres race walk,1936 Berlin,2, Arthur Tell Schwab, SUI,
athletics,M,50 kilometres race walk,1936 Berlin,3, Adalberts Bubenko, LAT,
athletics,M,50 kilometres race walk,1948 London,1, John Ljunggren, SWE,
athletics,M,50 kilometres race walk,1948 London,2, Gaston Godel, SUI,
athletics,M,50 kilometres race walk,1948 London,3, Tebbs Lloyd Johnson, GBR,
athletics,M,50 kilometres race walk,1952 Helsinki,1, Giuseppe Dordoni, ITA,
athletics,M,50 kilometres race walk,1952 Helsinki,2, Josef Doležal, TCH,
athletics,M,50 kilometres race walk,1952 Helsinki,3, Antal Róka, HUN,
athletics,M,50 kilometres race walk,1956 Melbourne,1, Norman Read, NZL,
athletics,M,50 kilometres race walk,1956 Melbourne,2, Yevgeniy Maskinskov, URS,
athletics,M,50 kilometres race walk,1956 Melbourne,3, John Ljunggren, SWE,
athletics,M,50 kilometres race walk,1960 Rome,1, Don Thompson, GBR,
athletics,M,50 kilometres race walk,1960 Rome,2, John Ljunggren, SWE,
athletics,M,50 kilometres race walk,1960 Rome,3, Abdon Pamich, ITA,
athletics,M,50 kilometres race walk,1964 Tokyo,1, Abdon Pamich, ITA,
athletics,M,50 kilometres race walk,1964 Tokyo,2, Paul Nihill, GBR,
athletics,M,50 kilometres race walk,1964 Tokyo,3, Ingvar Pettersson, SWE,
athletics,M,50 kilometres race walk,1968 Mexico City,1, Christoph Höhne, GDR,
athletics,M,50 kilometres race walk,1968 Mexico City,2, Antal Kiss, HUN,
athletics,M,50 kilometres race walk,1968 Mexico City,3, Larry Young, USA,
athletics,M,50 kilometres race walk,1972 Munich,1, Bernd Kannenberg, FRG,
athletics,M,50 kilometres race walk,1972 Munich,2, Veniamin Soldatenko, URS,
athletics,M,50 kilometres race walk,1972 Munich,3, Larry Young, USA,
athletics,M,50 kilometres race walk,1980 Moscow,1, Hartwig Gauder, GDR,
athletics,M,50 kilometres race walk,1980 Moscow,2, Jordi Llopart, ESP,
athletics,M,50 kilometres race walk,1980 Moscow,3, Yevgeniy Ivchenko, URS,
athletics,M,50 kilometres race walk,1984 Los Angeles,1, Raúl González, MEX,
athletics,M,50 kilometres race walk,1984 Los Angeles,2, Bo Gustafsson, SWE,
athletics,M,50 kilometres race walk,1984 Los Angeles,3, Sandro Bellucci, ITA,
athletics,M,50 kilometres race walk,1988 Seoul,1, Vyacheslav Ivanenko, URS,
athletics,M,50 kilometres race walk,1988 Seoul,2, Ronald Weigel, GDR,
athletics,M,50 kilometres race walk,1988 Seoul,3, Hartwig Gauder, GDR,
athletics,M,50 kilometres race walk,1992 Barcelona,1, Andrey Perlov, EUN,
athletics,M,50 kilometres race walk,1992 Barcelona,2, Carlos Mercenario, MEX,
athletics,M,50 kilometres race walk,1992 Barcelona,3, Ronald Weigel, GER,
athletics,M,50 kilometres race walk,1996 Atlanta,1, Robert Korzeniowski, POL,
athletics,M,50 kilometres race walk,1996 Atlanta,2, Mikhail Shchennikov, RUS,
athletics,M,50 kilometres race walk,1996 Atlanta,3, Valentí Massana, ESP,
athletics,M,50 kilometres race walk,2000 Sydney,1, Robert Korzeniowski, POL,
athletics,M,50 kilometres race walk,2000 Sydney,2, Aigars Fadejevs, LAT,
athletics,M,50 kilometres race walk,2000 Sydney,3, Joel Sánchez, MEX,
athletics,M,50 kilometres race walk,2004 Athens,1, Robert Korzeniowski, POL,
athletics,M,50 kilometres race walk,2004 Athens,2, Denis Nizhegorodov, RUS,
athletics,M,50 kilometres race walk,2004 Athens,3, Aleksey Voyevodin, RUS,
athletics,M,50 kilometres race walk,2008 Beijing,1, Alex Schwazer, ITA,
athletics,M,50 kilometres race walk,2008 Beijing,2, Jared Tallent, AUS,
athletics,M,50 kilometres race walk,2008 Beijing,3, Denis Nizhegorodov, RUS,
athletics,M,50 kilometres race walk,2012 London,1, Jared Tallent, AUS,
athletics,M,50 kilometres race walk,2012 London,2, Si Tianfeng, CHN,
athletics,M,50 kilometres race walk,2012 London,3, Robert Heffernan, IRL,
athletics,M,High jump,1896 Athens,1, Ellery Clark, USA,
athletics,M,High jump,1896 Athens,2, James Connolly, USA,
athletics,M,High jump,1900 Paris,1, Irving Baxter, USA,
athletics,M,High jump,1900 Paris,2, Patrick Leahy, GBR,
athletics,M,High jump,1900 Paris,3, Lajos Gönczy, HUN,
athletics,M,High jump,1904 St. Louis,1, Samuel Jones, USA,
athletics,M,High jump,1904 St. Louis,2, Garrett Serviss, USA,
athletics,M,High jump,1904 St. Louis,3, Paul Weinstein, GER,
athletics,M,High jump,1908 London,1, Harry Porter, USA,
athletics,M,High jump,1908 London,2, Géo André, FRA,
athletics,M,High jump,1912 Stockholm,1, Alma Richards, USA,
athletics,M,High jump,1912 Stockholm,2, Hans Liesche, GER,
athletics,M,High jump,1912 Stockholm,3, George Horine, USA,
athletics,M,High jump,1920 Antwerp,1, Richmond Landon, USA,
athletics,M,High jump,1920 Antwerp,2, Harold Muller, USA,
athletics,M,High jump,1920 Antwerp,3, Bo Ekelund, SWE,
athletics,M,High jump,1924 Paris,1, Harold Osborn, USA,
athletics,M,High jump,1924 Paris,2, Leroy Brown, USA,
athletics,M,High jump,1924 Paris,3, Pierre Lewden, FRA,
athletics,M,High jump,1928 Amsterdam,1, Bob King, USA,
athletics,M,High jump,1928 Amsterdam,2, Benjamin Hedges, USA,
athletics,M,High jump,1928 Amsterdam,3, Claude Ménard, FRA,
athletics,M,High jump,1932 Los Angeles,1, Duncan McNaughton, CAN,
athletics,M,High jump,1932 Los Angeles,2, Bob Van Osdel, USA,
athletics,M,High jump,1932 Los Angeles,3, Simeon Toribio, PHI,
athletics,M,High jump,1936 Berlin,1, Cornelius Johnson, USA,
athletics,M,High jump,1936 Berlin,2, Dave Albritton, USA,
athletics,M,High jump,1936 Berlin,3, Delos Thurber, USA,
athletics,M,High jump,1948 London,1, John Winter, AUS,
athletics,M,High jump,1948 London,2, Bjørn Paulson, NOR,
athletics,M,High jump,1948 London,3, George Stanich, USA,
athletics,M,High jump,1952 Helsinki,1, Walt Davis, USA,
athletics,M,High jump,1952 Helsinki,2, Ken Wiesner, USA,
athletics,M,High jump,1952 Helsinki,3, José da Conceição, BRA,
athletics,M,High jump,1956 Melbourne,1, Charles Dumas, USA,
athletics,M,High jump,1956 Melbourne,2, Chilla Porter, AUS,
athletics,M,High jump,1956 Melbourne,3, Igor Kashkarov, URS,
athletics,M,High jump,1960 Rome,1, Robert Shavlakadze, URS,
athletics,M,High jump,1960 Rome,2, Valeriy Brumel, URS,
athletics,M,High jump,1960 Rome,3, John Thomas, USA,
athletics,M,High jump,1964 Tokyo,1, Valeriy Brumel, URS,
athletics,M,High jump,1964 Tokyo,2, John Thomas, USA,
athletics,M,High jump,1964 Tokyo,3, John Rambo, USA,
athletics,M,High jump,1968 Mexico City,1, Dick Fosbury, USA,
athletics,M,High jump,1968 Mexico City,2, Ed Caruthers, USA,
athletics,M,High jump,1968 Mexico City,3, Valentin Gavrilov, URS,
athletics,M,High jump,1972 Munich,1, Jüri Tarmak, URS,
athletics,M,High jump,1972 Munich,2, Stefan Junge, GDR,
athletics,M,High jump,1972 Munich,3, Dwight Stones, USA,
athletics,M,High jump,1976 Montreal,1, Jacek Wszoła, POL,
athletics,M,High jump,1976 Montreal,2, Greg Joy, CAN,
athletics,M,High jump,1976 Montreal,3, Dwight Stones, USA,
athletics,M,High jump,1980 Moscow,1, Gerd Wessig, GDR,
athletics,M,High jump,1980 Moscow,2, Jacek Wszoła, POL,
athletics,M,High jump,1980 Moscow,3, Jörg Freimuth, GDR,
athletics,M,High jump,1984 Los Angeles,1, Dietmar Mögenburg, FRG,
athletics,M,High jump,1984 Los Angeles,2, Patrik Sjöberg, SWE,
athletics,M,High jump,1984 Los Angeles,3, Zhu Jianhua, CHN,
athletics,M,High jump,1988 Seoul,1, Hennadiy Avdyeyenko, URS,
athletics,M,High jump,1988 Seoul,2, Hollis Conway, USA,
athletics,M,High jump,1988 Seoul,3, Rudolf Povarnitsyn, URS,
athletics,M,High jump,1992 Barcelona,1, Javier Sotomayor, CUB,
athletics,M,High jump,1992 Barcelona,2, Patrik Sjöberg, SWE,
athletics,M,High jump,1992 Barcelona,3, Hollis Conway, USA,
athletics,M,High jump,1996 Atlanta,1, Charles Austin, USA,
athletics,M,High jump,1996 Atlanta,2, Artur Partyka, POL,
athletics,M,High jump,1996 Atlanta,3, Steve Smith, GBR,
athletics,M,High jump,2000 Sydney,1, Sergey Klyugin, RUS,
athletics,M,High jump,2000 Sydney,2, Javier Sotomayor, CUB,
athletics,M,High jump,2000 Sydney,3, Abderahmane Hammad, ALG,
athletics,M,High jump,2004 Athens,1, Stefan Holm, SWE,
athletics,M,High jump,2004 Athens,2, Matt Hemingway, USA,
athletics,M,High jump,2004 Athens,3, Jaroslav Bába, CZE,
athletics,M,High jump,2008 Beijing,1, Andrey Silnov, RUS,
athletics,M,High jump,2008 Beijing,2, Germaine Mason, GBR,
athletics,M,High jump,2008 Beijing,3, Yaroslav Rybakov, RUS,
athletics,M,High jump,2012 London,1, Ivan Ukhov, RUS,
athletics,M,High jump,2012 London,2, Erik Kynard, USA,
athletics,M,High jump,2012 London,3, Mutaz Essa Barshim, QAT,
athletics,M,Pole vault,1896 Athens,1, William Hoyt, USA,
athletics,M,Pole vault,1896 Athens,2, Albert Tyler, USA,
athletics,M,Pole vault,1896 Athens,3, Evangelos Damaskos, GRE,
athletics,M,Pole vault,1900 Paris,1, Irving Baxter, USA,
athletics,M,Pole vault,1900 Paris,2, Meredith Colket, USA,
athletics,M,Pole vault,1900 Paris,3, Carl Albert Andersen, NOR,
athletics,M,Pole vault,1904 St. Louis,1, Charles Dvorak, USA,
athletics,M,Pole vault,1904 St. Louis,2, LeRoy Samse, USA,
athletics,M,Pole vault,1904 St. Louis,3, Louis Wilkins, USA,
athletics,M,Pole vault,1908 London,1, Edward Cook, USA,
athletics,M,Pole vault,1908 London,2, Edward Archibald, CAN,
athletics,M,Pole vault,1912 Stockholm,1, Harry Babcock, USA,
athletics,M,Pole vault,1912 Stockholm,2, Frank Nelson, USA,
athletics,M,Pole vault,1912 Stockholm,3, William Halpenny, CAN,
athletics,M,Pole vault,1920 Antwerp,1, Frank Foss, USA,
athletics,M,Pole vault,1920 Antwerp,2, Henry Petersen, DEN,
athletics,M,Pole vault,1920 Antwerp,3, Edwin Myers, USA,
athletics,M,Pole vault,1924 Paris,1, Lee Barnes, USA,
athletics,M,Pole vault,1924 Paris,2, Glen Graham, USA,
athletics,M,Pole vault,1924 Paris,3, James Brooker, USA,
athletics,M,Pole vault,1928 Amsterdam,1, Sabin Carr, USA,
athletics,M,Pole vault,1928 Amsterdam,2, William Droegemueller, USA,
athletics,M,Pole vault,1928 Amsterdam,3, Charles McGinnis, USA,
athletics,M,Pole vault,1932 Los Angeles,1, Bill Miller, USA,
athletics,M,Pole vault,1932 Los Angeles,2, Shuhei Nishida, JPN,
athletics,M,Pole vault,1932 Los Angeles,3, George Jefferson, USA,
athletics,M,Pole vault,1936 Berlin,1, Earle Meadows, USA,
athletics,M,Pole vault,1936 Berlin,2, Shuhei Nishida, JPN,
athletics,M,Pole vault,1936 Berlin,3, Sueo Ōe, JPN,
athletics,M,Pole vault,1948 London,1, Guinn Smith, USA,
athletics,M,Pole vault,1948 London,2, Erkki Kataja, FIN,
athletics,M,Pole vault,1948 London,3, Bob Richards, USA,
athletics,M,Pole vault,1952 Helsinki,1, Bob Richards, USA,
athletics,M,Pole vault,1952 Helsinki,2, Don Laz, USA,
athletics,M,Pole vault,1952 Helsinki,3, Ragnar Lundberg, SWE,
athletics,M,Pole vault,1956 Melbourne,1, Bob Richards, USA,
athletics,M,Pole vault,1956 Melbourne,2, Bob Gutowski, USA,
athletics,M,Pole vault,1956 Melbourne,3, Georgios Roubanis, GRE,
athletics,M,Pole vault,1960 Rome,1, Don Bragg, USA,
athletics,M,Pole vault,1960 Rome,2, Ron Morris, USA,
athletics,M,Pole vault,1960 Rome,3, Eeles Landström, FIN,
athletics,M,Pole vault,1964 Tokyo,1, Fred Hansen, USA,
athletics,M,Pole vault,1964 Tokyo,2, Wolfgang Reinhardt, EUA,
athletics,M,Pole vault,1964 Tokyo,3, Klaus Lehnertz, EUA,
athletics,M,Pole vault,1968 Mexico City,1, Bob Seagren, USA,
athletics,M,Pole vault,1968 Mexico City,2, Claus Schiprowski, FRG,
athletics,M,Pole vault,1968 Mexico City,3, Wolfgang Nordwig, GDR,
athletics,M,Pole vault,1972 Munich,1, Wolfgang Nordwig, GDR,
athletics,M,Pole vault,1972 Munich,2, Bob Seagren, USA,
athletics,M,Pole vault,1972 Munich,3, Jan Johnson, USA,
athletics,M,Pole vault,1976 Montreal,1, Tadeusz Ślusarski, POL,
athletics,M,Pole vault,1976 Montreal,2, Antti Kalliomäki, FIN,
athletics,M,Pole vault,1976 Montreal,3, David Roberts, USA,
athletics,M,Pole vault,1980 Moscow,1, Władysław Kozakiewicz, POL,
athletics,M,Pole vault,1980 Moscow,2, Tadeusz Ślusarski, POL,
athletics,M,Pole vault,1984 Los Angeles,1, Pierre Quinon, FRA,
athletics,M,Pole vault,1984 Los Angeles,2, Mike Tully, USA,
athletics,M,Pole vault,1984 Los Angeles,3, Earl Bell, USA,
athletics,M,Pole vault,1988 Seoul,1, Sergey Bubka, URS,
athletics,M,Pole vault,1988 Seoul,2, Radion Gataullin, URS,
athletics,M,Pole vault,1988 Seoul,3, Grigoriy Yegorov, URS,
athletics,M,Pole vault,1992 Barcelona,1, Maksim Tarasov, EUN,
athletics,M,Pole vault,1992 Barcelona,2, Igor Trandenkov, EUN,
athletics,M,Pole vault,1992 Barcelona,3, Javier García, ESP,
athletics,M,Pole vault,1996 Atlanta,1, Jean Galfione, FRA,
athletics,M,Pole vault,1996 Atlanta,2, Igor Trandenkov, RUS,
athletics,M,Pole vault,1996 Atlanta,3, Andrei Tivontchik, GER,
athletics,M,Pole vault,2000 Sydney,1, Nick Hysong, USA,
athletics,M,Pole vault,2000 Sydney,2, Lawrence Johnson, USA,
athletics,M,Pole vault,2000 Sydney,3, Maksim Tarasov, RUS,
athletics,M,Pole vault,2004 Athens,1, Timothy Mack, USA,
athletics,M,Pole vault,2004 Athens,2, Toby Stevenson, USA,
athletics,M,Pole vault,2004 Athens,3, Giuseppe Gibilisco, ITA,
athletics,M,Pole vault,2008 Beijing,1, Steve Hooker, AUS,
athletics,M,Pole vault,2008 Beijing,2, Yevgeny Lukyanenko, RUS,
athletics,M,Pole vault,2008 Beijing,3, Denys Yurchenko, UKR,
athletics,M,Pole vault,2012 London,1, Renaud Lavillenie, FRA,
athletics,M,Pole vault,2012 London,2, Björn Otto, GER,
athletics,M,Pole vault,2012 London,3, Raphael Holzdeppe, GER,
athletics,M,Long jump,1896 Athens,1, Ellery Clark, USA,
athletics,M,Long jump,1896 Athens,2, Robert Garrett, USA,
athletics,M,Long jump,1896 Athens,3, James Connolly, USA,
athletics,M,Long jump,1900 Paris,1, Alvin Kraenzlein, USA,
athletics,M,Long jump,1900 Paris,2, Myer Prinstein, USA,
athletics,M,Long jump,1900 Paris,3, Patrick Leahy, GBR,
